cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
120,A2428,334.06,-9.34,1,334.0650374999999,-9.333227777777777,0.5040410441952812,7.53,7.77,1.7699999809265137,0.0,,,False
120,A2428,334.06,-9.34,2,334.00275833333325,-9.358741666666667,3.5705718934360577,3.62,3.24,0.0,0.0,,,False
120,A2428,334.06,-9.34,3,334.12671249999994,-9.329483333333332,3.9998295859338566,1.16,0.48,0.0,0.0,,,False
120,A2428,334.06,-9.34,4,333.9932166666666,-9.32265,4.088717267416462,1.12,0.66,0.0,0.0,,,False
120,A2428,334.06,-9.34,5,333.98102083333333,-9.358119444444444,4.800529589308203,1.79,1.15,0.0,0.0,,,False
122,A119,14.08,-1.22,1,14.106966666666665,-1.2619916666666666,2.9940902077076226,25.38,43.34,7.389999866485596,2.2300000190734863,,,True
122,A119,14.08,-1.22,2,14.112445833333332,-1.2658972222222222,3.3721877369025117,5.5,47.5,18.299999237060547,14.289999961853027,,,True
122,A119,14.08,-1.22,3,14.03915,-1.2618083333333334,3.506730040053191,2.98,7.46,12.069999694824219,3.0799999237060547,,,True
122,A119,14.08,-1.22,4,14.102324999999997,-1.2753638888888887,3.581617804717571,6.44,44.27,19.34000015258789,10.1899995803833,,,True
122,A119,14.08,-1.22,5,14.144437499999999,-1.1847416666666666,4.40643245650301,4.11,6.35,6.070000171661377,2.7300000190734863,,,True
128,A2033,227.85,6.32,1,227.86295416666667,6.347094444444444,1.7998771473451507,105.74,293.1,7.809999942779541,6.579999923706055,,,True
128,A2033,227.85,6.32,2,227.85819999999995,6.350444444444444,1.8909859101062303,118.84,262.09,6.96999979019165,4.900000095367432,,,True
128,A2033,227.85,6.32,3,227.85981249999998,6.289988888888889,1.8933690765350772,1.29,1.19,3.7699999809265137,0.0,,,False
128,A2033,227.85,6.32,4,227.79979166666666,6.326058333333333,3.016158446700817,1.09,1.32,4.260000228881836,0.0,,,False
128,A2033,227.85,6.32,5,227.91819999999998,6.307938888888889,4.131057413881579,5.46,5.74,2.5199999809265137,0.0,,,False
128,A2033,227.85,6.32,6,227.91952499999996,6.309855555555555,4.190627155176391,4.39,5.13,2.890000104904175,1.2999999523162842,,,False
128,A2033,227.85,6.32,7,227.90105416666665,6.380997222222222,4.760575166026467,9.63,10.8,2.1600000858306885,1.5800000429153442,,,False
136,A2147,240.58,16.02,1,240.5759875,15.986716666666666,2.0103641837358643,7.21,7.5,1.1299999952316284,1.0299999713897705,,,False
136,A2147,240.58,16.02,2,240.57809166666667,16.054991666666666,2.102381954951874,28.68,36.49,3.859999895095825,1.440000057220459,,,False
136,A2147,240.58,16.02,3,240.56949583333332,15.974763888888889,2.7809614449064264,5.04,6.34,3.609999895095825,1.6699999570846558,,,False
136,A2147,240.58,16.02,4,240.57183333333333,15.973530555555556,2.82767372629682,2.94,4.79,7.489999771118164,0.0,,,True
