cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,total_flux_mJy,major_axis_arcsec,minor_axis_arcsec,resolved,s_code
170,RX J0820.9+0751,125.26,7.87,23,125.1575600835592,7.933988764975824,7.197538799674115,1.067885252733517,1.5951557547667536,11.164037131743083,10.841980038879019,U,S
170,RX J0820.9+0751,125.26,7.87,24,125.27364356104435,7.750578373447048,7.211050019864664,32.74246738511263,50.91938683983256,12.416179146934061,11.65434721924083,R,M
170,RX J0820.9+0751,125.26,7.87,25,125.17632228876619,7.780938623971269,7.300321363235678,4.609703776683794,5.952628172631958,10.503671393799715,9.961753000361488,U,S
170,RX J0820.9+0751,125.26,7.87,26,125.24062286458523,7.748947125406545,7.353939165599413,0.6509825183422181,1.087251833481765,13.020341357192295,10.394159099704694,U,S
170,RX J0820.9+0751,125.26,7.87,27,125.32203702734839,7.978037501198387,7.457290277543186,2.0828076072577963,2.4998350824507303,9.975334833757772,9.750401231568022,U,S
170,RX J0820.9+0751,125.26,7.87,28,125.13479574713152,7.839488465628375,7.66364260467773,52.715653316128524,80.08619289129327,12.640476942418042,11.441148929140667,R,M
170,RX J0820.9+0751,125.26,7.87,29,125.3799323207501,7.821054081981373,7.70981339340335,0.18158128780515395,2.594374034269717,46.57720005966851,24.858391535144975,U,S
170,RX J0820.9+0751,125.26,7.87,30,125.36262708968364,7.956417037557509,8.005132018439456,0.5333818385788782,0.6263355699353225,13.448490518752758,7.0760226826382375,U,S
170,RX J0820.9+0751,125.26,7.87,31,125.13446363358823,7.817408997785167,8.101484857510238,0.9903203763768076,2.060159136851929,15.06401381111812,11.189761955933985,U,S
170,RX J0820.9+0751,125.26,7.87,32,125.13057560616164,7.9144813984349325,8.141769603310285,1.1992303303291376,2.2685282411865932,14.172775881852365,10.815116840667416,U,S
170,RX J0820.9+0751,125.26,7.87,33,125.23091552713377,8.006729083573651,8.383830257450406,0.6624010604191377,0.5319799505455448,10.565335488367142,6.1597584330147495,U,S
170,RX J0820.9+0751,125.26,7.87,34,125.34952435366152,7.755966656624683,8.667893081736073,0.9904686391649118,2.1186163447592414,14.066076349685721,12.32287281701936,U,S
170,RX J0820.9+0751,125.26,7.87,35,125.38491440372714,7.795178634451758,8.676600098310951,0.8326647130329815,1.35309859302959,13.666498379085228,9.635757562003105,U,S
170,RX J0820.9+0751,125.26,7.87,36,125.17390017854612,7.750642537832494,8.802325070947491,0.5077256685477559,0.6743277901171447,14.054000922363954,7.6573824598477715,U,S
170,RX J0820.9+0751,125.26,7.87,37,125.17817293533543,7.746742377437159,8.851681568822322,0.8931267280013263,1.4859188909487935,13.38004604330347,10.075422839655674,U,S
170,RX J0820.9+0751,125.26,7.87,38,125.28247355245342,7.719702573882095,9.116266247084951,0.5009438026043804,1.2667737133031822,12.491340794467115,4.427326180308837,R,M
170,RX J0820.9+0751,125.26,7.87,39,125.15773621439732,7.754072335698327,9.237640500929894,2.1060085248252727,2.9737027789490407,11.382835499793647,10.051309225811158,U,S
170,RX J0820.9+0751,125.26,7.87,40,125.41747352235762,7.86056858789214,9.376617233527012,0.6917842339327359,0.5908199702120713,9.894837904419866,6.9947510145522305,U,S
170,RX J0820.9+0751,125.26,7.87,41,125.1338170921673,7.967428181455169,9.508091940351004,6.3659459926081094,8.159954038216116,10.522094230761708,9.871269700968988,U,S
170,RX J0820.9+0751,125.26,7.87,42,125.1664573294508,8.004705438471374,9.809389833193027,0.8858691968945428,1.848896940438963,15.432678966928778,10.95877877002925,U,S
170,RX J0820.9+0751,125.26,7.87,43,125.36016775779211,8.001112285533614,9.864985909376662,10.791581274074318,13.965770995632603,10.43004996963032,10.055218457057556,U,S
170,RX J0820.9+0751,125.26,7.87,44,125.10979761987416,7.943664145600656,9.96076438993154,0.7268472664746867,0.9010515982832651,11.814841417136277,8.502024065669973,U,S
176,A1205,168.34,2.53,1,168.33374668588968,2.546699302495275,1.0697748305967276,4.986493034336259,8.153897168393906,14.52282686715367,9.12046493844428,U,S
176,A1205,168.34,2.53,2,168.3106685527785,2.54638799534771,2.0144394865931354,22.58115403591822,92.9811392634974,22.071542844390844,15.154777900975823,R,M
176,A1205,168.34,2.53,3,168.3205583475973,2.501417896142159,2.073420027722736,274.5765973659988,385.7061278335832,11.22407050987934,10.703962608399953,R,M
176,A1205,168.34,2.53,4,168.31987905509874,2.498819199731144,2.225923605164852,4.528723821789562,14.55090497287873,24.14876208710607,10.777482879515384,U,S
176,A1205,168.34,2.53,5,168.3657170835711,2.4833978692519305,3.192914440118264,1.5113826563770276,3.0477649067141983,15.141188121826875,10.788037461656042,U,S
176,A1205,168.34,2.53,6,168.27033843288942,2.5642136234563657,4.652891394777078,1.393047845026853,7.922355879163321,26.507848253408717,17.37865262371671,U,S
176,A1205,168.34,2.53,7,168.32408052103355,2.6147522249484214,5.173885586149154,18.736084481618875,35.77694763442936,17.763223000408793,10.212084540184858,R,M
176,A1205,168.34,2.53,8,168.33712633692434,2.6212003152838226,5.474729177838897,27.779391868326186,40.92638788388131,12.187685683923155,9.692582621608018,R,M
176,A1205,168.34,2.53,9,168.41770366701647,2.5782317588162313,5.483413010017797,0.9317114276271558,1.0644199670019387,9.961430823675736,9.289761618094099,U,S
176,A1205,168.34,2.53,10,168.3598451314961,2.4397595342903697,5.5435683355032035,1.6356026667860621,1.7919454162345805,11.38710322459614,7.79343569482811,U,S
176,A1205,168.34,2.53,11,168.29065532976162,2.451718423646542,5.550665581646036,1.330391651385841,2.519533036119648,12.387519368925625,4.163926982708944,R,M
176,A1205,168.34,2.53,12,168.2560428047675,2.5789059618827412,5.825441273578365,15.086014679059927,33.91151491245376,14.61522480075968,11.086032645418578,R,M
176,A1205,168.34,2.53,13,168.28376869016645,2.4450004528797944,6.113209909380485,6.92707088061147,10.144670805038903,12.093788243535705,9.809018507769732,U,S
176,A1205,168.34,2.53,14,168.30702391224187,2.4193005766369855,6.929871970714702,1.0825992121567494,1.2344381548931602,12.431450359920559,7.429812787563011,U,S
176,A1205,168.34,2.53,15,168.45226178899082,2.4902161281998803,7.140073734298965,13.09799862187494,92.05460815597046,31.83973960165705,17.35533454922096,R,M
